if numbers are 0, that is GOOD, that means HDLsimulation and Matlab results are identical as they should be

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
INITIAL DATA of Matrix with size 19 X 19


0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 
262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 
262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 
262144 262144 262144 262144 262144 524288 524288 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 262144 
524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 
524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 
524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 524288 
524288 524288 524288 524288 524288 524288 524288 786432 786432 786432 786432 524288 524288 524288 524288 524288 524288 524288 524288 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 1048576 1048576 1048576 1048576 1048576 786432 786432 786432 786432 
1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 786432 786432 1048576 
1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 
1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 
RESULT of P * G of Matrix with size 19 X 19


149684224 150470656 151519232 152305664 153092096 153878528 154927104 155713536 156499968 157548544 158334976 159121408 159907840 160956416 161742848 162529280 163577856 164364288 165150720 
405012480 367263744 369360896 371458048 373555200 375652352 377749504 379846656 381943808 384040960 386138112 388235264 390332416 392429568 394526720 396623872 398721024 400818176 402915328 
641466368 644874240 584581120 587988992 591396864 594542592 597950464 601358336 604766208 607911936 611319808 614727680 618135552 621281280 624689152 628097024 631504896 634650624 638058496 
875298816 880017408 884473856 802160640 806617088 811335680 815792128 820248576 824967168 829423616 834142208 838598656 843317248 847773696 852492288 856948736 861667328 866123776 870842368 
1106771968 1112801280 1118568448 1124335616 1019478016 1025245184 1031012352 1037041664 1042808832 1048576000 1054343168 1060372480 1066139648 1071906816 1077673984 1083441152 1089470464 1095237632 1101004800 
1335885824 1342963712 1350041600 1357119488 1364197376 1236795392 1243873280 1250951168 1258029056 1265106944 1272184832 1279262720 1286340608 1293418496 1300496384 1307574272 1314652160 1321730048 1328807936 
1562378240 1570766848 1578893312 1587281920 1595670528 1603796992 1454374912 1462763520 1470889984 1479278592 1487667200 1495793664 1504182272 1512570880 1520959488 1529085952 1537474560 1545863168 1553989632 
1786511360 1795948544 1805385728 1815085056 1824522240 1834221568 1843658752 1671692288 1681391616 1690828800 1700528128 1709965312 1719664640 1729101824 1738539008 1748238336 1757675520 1767374848 1776812032 
2008023040 2018770944 2029518848 2040266752 2051014656 2062024704 2072772608 2083520512 1889271808 1900019712 1910767616 1921515520 1932525568 1943273472 1954021376 1964769280 1975517184 1986265088 1997275136 
2226913280 2238971904 2251030528 2263089152 2275147776 2287206400 2299265024 2311323648 2323382272 2106589184 2118647808 2130706432 2142765056 2154823680 2166882304 2178940928 2190999552 2203058176 2215116800 
2443706368 2456813568 2470182912 2483552256 2496659456 2510028800 2523136000 2536505344 2549874688 2562981888 2324168704 2337538048 2350645248 2364014592 2377121792 2390491136 2403860480 2416967680 2430337024 
2657615872 2672295936 2686713856 2701131776 2715811840 2730229760 2744909824 2759327744 2773745664 2788425728 2802843648 2541486080 2556166144 2570584064 2585264128 2599682048 2614099968 2628780032 2643197952 
2869428224 2885156864 2900885504 2916614144 2932342784 2948071424 2963800064 2979528704 2995257344 3011248128 3026976768 3042705408 2759065600 2774794240 2790522880 2806251520 2821980160 2837708800 2853699584 
3078356992 3095396352 3112435712 3129475072 3146514432 3163553792 3180331008 3197370368 3214409728 3231449088 3248488448 3265527808 3282567168 2976382976 2993422336 3010461696 3027501056 3044540416 3061579776 
3285188608 3303276544 3321626624 3339714560 3358064640 3376414720 3394502656 3412852736 3430940672 3449290752 3467640832 3485728768 3504078848 3522166784 3193962496 3212050432 3230400512 3248750592 3266838528 
3489398784 3508797440 3528196096 3547856896 3567255552 3586654208 3606052864 3625713664 3645112320 3664510976 3684171776 3703570432 3722969088 3742629888 3762028544 3411279872 3430940672 3450339328 3469737984 
3690987520 3711696896 3732406272 3753115648 3773825024 3794534400 3815243776 3835953152 3856662528 3877371904 3898081280 3919052800 3939762176 3960471552 3981180928 4001890304 3628859392 3649568768 3670278144 
3890216960 3912237056 3933995008 3956015104 3978035200 4000055296 4022075392 4043833344 4065853440 4087873536 4109893632 4131913728 4153671680 4175691776 4197711872 4219731968 4241489920 3846176768 3868196864 
4086824960 4110155776 4133224448 4156555264 4179623936 4202954752 4226023424 4249354240 4272422912 4295753728 4319084544 4342153216 4365484032 4388552704 4411883520 4434952192 4458283008 4481351680 4063756288 
RESULT of P G * G of Matrix with size 19 X 19


0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
262144 262144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 262144 262144 
262144 262144 262144 0 0 0 0 0 0 0 0 0 0 0 262144 262144 262144 262144 262144 
262144 262144 524288 524288 0 0 0 0 0 0 0 0 262144 262144 262144 262144 262144 262144 262144 
524288 524288 524288 524288 524288 0 0 0 0 0 0 0 262144 262144 262144 262144 262144 262144 262144 
524288 524288 524288 524288 524288 786432 0 0 0 0 0 0 262144 262144 262144 262144 262144 262144 524288 
524288 524288 524288 786432 786432 786432 786432 0 0 0 0 0 262144 262144 262144 262144 262144 524288 524288 
524288 524288 786432 786432 786432 786432 786432 1048576 0 0 0 0 262144 262144 262144 262144 262144 524288 524288 
524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 
524288 524288 786432 786432 786432 1048576 1048576 1048576 1048576 1310720 0 0 0 0 262144 262144 262144 524288 524288 
524288 524288 786432 786432 786432 1048576 1048576 1048576 1048576 1310720 1310720 0 0 0 262144 262144 262144 262144 524288 
524288 524288 786432 786432 786432 1048576 1048576 1048576 1310720 1310720 1310720 1572864 0 0 0 262144 262144 262144 524288 
524288 524288 786432 786432 786432 1048576 1048576 1048576 1310720 1310720 1310720 1572864 1572864 0 0 0 262144 262144 262144 
524288 524288 524288 786432 786432 1048576 1048576 1048576 1310720 1310720 1310720 1572864 1572864 1835008 0 0 0 262144 262144 
262144 524288 524288 786432 786432 786432 1048576 1048576 1310720 1310720 1310720 1572864 1572864 1835008 1835008 0 0 262144 262144 
262144 262144 524288 524288 786432 786432 1048576 1048576 1048576 1310720 1310720 1572864 1572864 1835008 1835008 2097152 0 0 262144 
262144 262144 524288 524288 524288 786432 786432 1048576 1048576 1310720 1310720 1572864 1572864 1835008 1835008 2097152 2097152 0 0 
0 262144 262144 524288 524288 786432 786432 1048576 1048576 1310720 1310720 1572864 1572864 1835008 1835008 2097152 2097152 2097152 0 
RESULT of P * Gt of Matrix with size 19 X 19


8650752 21233664 33816576 46399488 58982400 71565312 84410368 96993280 109576192 122159104 134742016 147324928 159907840 172752896 185335808 197918720 210501632 223084544 235667456 
676593664 24903680 61079552 97255424 133431296 169607168 206045184 242221056 278396928 314572800 350748672 386924544 423100416 459276288 495714304 531890176 568066048 604241920 640417792 
1057751040 1117519872 41156608 100925440 160694272 220725248 280494080 340262912 400031744 459800576 519569408 579338240 639107072 698875904 758906880 818675712 878444544 938213376 997982208 
1391722496 1475084288 1558446080 57671680 141033472 224395264 307757056 391118848 474480640 557842432 641204224 724566016 807927808 891289600 974651392 1058275328 1141637120 1224998912 1308360704 
1678508032 1785462784 1892417536 1999372288 73924608 180879360 287834112 394788864 501743616 608698368 715653120 822607872 929562624 1036517376 1143472128 1250689024 1357643776 1464598528 1571553280 
1918107648 2048655360 2179203072 2309750784 2440298496 90177536 220725248 351272960 481820672 612368384 742916096 873463808 1004011520 1134559232 1265369088 1395916800 1526464512 1657012224 1787559936 
2110521344 2264662016 2418802688 2572943360 2727084032 2881224704 106430464 260571136 414711808 568852480 722993152 877133824 1031536640 1185677312 1339817984 1493958656 1648099328 1802240000 1956380672 
2255749120 2433482752 2611216384 2788950016 2966683648 3144417280 3322150912 122945536 300679168 478412800 656146432 833880064 1011613696 1189347328 1367080960 1544814592 1722548224 1900281856 2078015488 
