 
1         2         3         4         5         6         7         8         9         10        
20        11        12        13        14        15        16        17        18        19        
29        30        21        22        23        24        25        26        27        28        
38        39        40        31        32        33        34        35        36        37        
47        48        49        50        41        42        43        44        45        46        
56        57        58        59        60        51        52        53        54        55        
65        66        67        68        69        70        61        62        63        64        
74        75        76        77        78        79        80        71        72        73        
83        84        85        86        87        88        89        90        81        82        
92        93        94        95        96        97        98        99        100       91        

 

3355      3410      3465      3520      3575      3630      3685      3740      3795      3850      
9350      7955      8110      8265      8420      8575      8730      8885      9040      9195      
14595     14850     12555     12810     13065     13320     13575     13830     14085     14340     
19640     19995     20350     17155     17510     17865     18220     18575     18930     19285     
24485     24940     25395     25850     21755     22210     22665     23120     23575     24030     
29130     29685     30240     30795     31350     26355     26910     27465     28020     28575     
33575     34230     34885     35540     36195     36850     30955     31610     32265     32920     
37820     38575     39330     40085     40840     41595     42350     35555     36310     37065     
41865     42720     43575     44430     45285     46140     46995     47850     40155     41010     
45710     46665     47620     48575     49530     50485     51440     52395     53350     44755     

 

129661    165686    201711    237736    11617     47642     83667     119692    155717    191742    
168158    175865    246       86771     173296    259821    84202     170727    257252    81633     
7549      144574    222069    96950     233975    108856    245881    120762    257787    132668    
8084      195609    120990    6129      193654    119035    44416     231941    157322    82703     
169763    145644    121525    97406     52333     28214     4095      242120    218001    193882    
230442    256823    21060     47441     73822     98537     124918    151299    177680    204061    
190121    4858      81739     158620    235501    50238     144741    221622    36359     113240    
48800     176181    41418     168799    34036     161417    26654     190945    56182     183563    
68623     246504    162241    77978     255859    171596    87333     3070      237149    152886    
249590    215827    182064    148301    114538    80775     47012     13249     241630    21209     

 
 
385       935       1485      2035      2585      3135      3685      4235      4785      5335      
14885     935       2485      4035      5585      7135      8685      10235     11785     13335     
21885     24435     1485      4035      6585      9135      11685     14235     16785     19335     
26885     30435     33985     2035      5585      9135      12685     16235     19785     23335     
29885     34435     38985     43535     2585      7135      11685     16235     20785     25335     
30885     36435     41985     47535     53085     3135      8685      14235     19785     25335     
29885     36435     42985     49535     56085     62635     3685      10235     16785     23335     
26885     34435     41985     49535     57085     64635     72185     4235      11785     19335     
21885     30435     38985     47535     56085     64635     73185     81735     4785      13335     
14885     24435     33985     43535     53085     62635     72185     81735     91285     5335      

 

202675    226531    250387    12099     35955     59811     83667     107523    131379    155235    
79749     38637     43205     47773     52341     56909     61477     66045     70613     75181     
18983     4263      136743    122023    107303    92583     77863     63143     48423     33703     
258937    224929    190921    234849    200841    166833    132825    98817     64809     30801     
13179     222027    168731    115435    70811     17515     226363    173067    119771    66475     
68141     257701    185117    112533    39949     168917    96333     23749     213309    140725    
161679    69807     240079    148207    56335     226607    4879      175151    83279     253551    
31649     182633    71473     222457    111297    137       151121    102985    253969    142809    
202339    71891     203587    73139     204835    74387     206083    75635     201091    70643     
149461    261869    112133    224541    74805     187213    37477     149885    149       37053     

 
 
29410     29870     30330     30790     31250     31710     32170     32630     33090     33550     
34100     29870     30340     30810     31280     31750     32220     32690     33160     33630     
34170     34650     30330     30810     31290     31770     32250     32730     33210     33690     
34220     34710     35200     30790     31280     31770     32260     32750     33240     33730     
34250     34750     35250     35750     31250     31750     32250     32750     33250     33750     
34260     34770     35280     35790     36300     31710     32220     32730     33240     33750     
34250     34770     35290     35810     36330     36850     32170     32690     33210     33730     
34220     34750     35280     35810     36340     36870     37400     32630     33160     33690     
34170     34710     35250     35790     36330     36870     37410     37950     33090     33630     
34100     34650     35200     35750     36300     36850     37400     37950     38500     33550     

 

180236    232892    23404     76060     128716    181372    234028    24540     77196     129852    
153708    158642    216348    11910     69616     127322    185028    242734    38296     96002     
114808    177564    137048    199804    416       63172     125928    188684    251440    52052     
65808     133614    201420    115454    183260    251066    56728     124534    192340    260146    
6708      79564     152420    225276    93860     166716    239572    50284     123140    195996    
199652    15414     93320     171226    249132    72266     150172    228078    43840     121746    
120352    203308    24120     107076    190032    10844     50672     133628    216584    37396     
30952     118958    206964    32826     120832    208838    34700     29078     117084    205090    
193596    24508     117564    210620    41532     134588    227644    58556     7484      100540    
83996     182102    18064     116170    214276    50238     148344    246450    82412     248034    

 
 
3355      7955      12555     17155     21755     26355     30955     35555     40155     44755     
45710     3410      8110      12810     17510     22210     26910     31610     36310     41010     
41865     46665     3465      8265      13065     17865     22665     27465     32265     37065     
37820     42720     47620     3520      8420      13320     18220     23120     28020     32920     
33575     38575     43575     48575     3575      8575      13575     18575     23575     28575     
29130     34230     39330     44430     49530     3630      8730      13830     18930     24030     
24485     29685     34885     40085     45285     50485     3685      8885      14085     19285     
19640     24940     30240     35540     40840     46140     51440     3740      9040      14340     
14595     19995     25395     30795     36195     41595     46995     52395     3795      9195      
9350      14850     20350     25850     31350     36850     42350     47850     53350     3850      

 

202675    38637     136743    234849    70811     168917    4879      102985    201091    37053     
149461    226531    43205     122023    200841    17515     96333     175151    253969    70643     
202339    261869    250387    47773     107303    166833    226363    23749     83279     142809    
31649     71891     112133    12099     52341     92583     132825    173067    213309    253551    
161679    182633    203587    224541    35955     56909     77863     98817     119771    140725    
68141     69807     71473     73139     74805     59811     61477     63143     64809     66475     
13179     257701    240079    222457    204835    187213    83667     66045     48423     30801     
258937    222027    185117    148207    111297    74387     37477     107523    70613     33703     
18983     224929    168731    112533    56335     137       206083    149885    131379    75181     
79749     4263      190921    115435    39949     226607    151121    75635     149       155235    

 
