 
1         2         3         4         5         6         7         8         
16        9         10        11        12        13        14        15        
23        24        17        18        19        20        21        22        
30        31        32        25        26        27        28        29        
37        38        39        40        33        34        35        36        
44        45        46        47        48        41        42        43        
51        52        53        54        55        56        49        50        
58        59        60        61        62        63        64        57        

 

1380      1416      1452      1488      1524      1560      1596      1632      
3936      3236      3336      3436      3536      3636      3736      3836      
6076      6240      5092      5256      5420      5584      5748      5912      
8088      8316      8544      6948      7176      7404      7632      7860      
9972      10264     10556     10848     8804      9096      9388      9680      
11728     12084     12440     12796     13152     10660     11016     11372     
13356     13776     14196     14616     15036     15456     12516     12936     
14856     15340     15824     16308     16792     17276     17760     14372     

 

99344     111392    123440    135488    147536    159584    171632    183680    
17792     79120     107808    136496    165184    193872    222560    251248    
68720     114048    58896     104224    149552    194880    240208    23392     
86368     148336    210304    38672     100640    162608    224576    24400     
70736     149344    227952    44416     18448     97056     175664    254272    
21824     117072    212320    45424     140672    260368    93472     188720    
201776    51520     163408    13152     125040    236928    240144    89888     
86304     214832    81216     209744    76128     204656    71040     219920    

 
 
204       492       780       1068      1356      1644      1932      2220      
6092      492       1292      2092      2892      3692      4492      5292      
8652      9964      780       2092      3404      4716      6028      7340      
10188     12012     13836     1068      2892      4716      6540      8364      
10700     13036     15372     17708     1356      3692      6028      8364      
10188     13036     15884     18732     21580     1644      4492      7340      
8652      12012     15372     18732     22092     25452     1932      5292      
6092      9964      13836     17708     21580     25452     29324     2220      

 

55728     133296    210864    26288     103856    181424    258992    74416     
54064     152112    100656    49200     259888    208432    156976    105520    
214192    33712     248496    68016     149680    231344    50864     132528    
108080    60720     13360     82736     35376     250160    202800    155440    
260016    83632     169392    255152    179120    2736      88496     174256    
145712    102448    59184     15920     234800    13360     232240    188976    
27312     117168    207024    34736     124592    214448    109744    199600    
166960    127792    88624     49456     10288     233264    194096    206128    

 
 
9416      9648      9880      10112     10344     10576     10808     11040     
11328     9648      9888      10128     10368     10608     10848     11088     
11368     11616     9880      10128     10376     10624     10872     11120     
11392     11648     11904     10112     10368     10624     10880     11136     
11400     11664     11928     12192     10344     10608     10872     11136     
11392     11664     11936     12208     12480     10576     10848     11120     
11368     11648     11928     12208     12488     12768     10808     11088     
11328     11616     11904     12192     12480     12768     13056     11040     

 

91552     173376    255200    74880     156704    238528    58208     140032    
217600    154560    238464    60224     144128    228032    49792     133696    
209184    33024     217568    41408     127392    213376    37216     123200    
196608    22528     110592    18432     106496    194560    20480     108544    
179872    7872      98016     188160    81440     171584    261728    89728     
158976    251200    81280     173504    3584      144448    236672    66752     
133920    228224    60384     154688    248992    81152     207456    39616     
104704    201088    35328     131712    228096    62336     158720    8320      

 
 
1380      3236      5092      6948      8804      10660     12516     14372     
14856     1416      3336      5256      7176      9096      11016     12936     
13356     15340     1452      3436      5420      7404      9388      11372     
11728     13776     15824     1488      3536      5584      7632      9680      
9972      12084     14196     16308     1524      3636      5748      7860      
8088      10264     12440     14616     16792     1560      3736      5912      
6076      8316      10556     12796     15036     17276     1596      3836      
3936      6240      8544      10848     13152     15456     17760     1632      

 

55728     152112    248496    82736     179120    13360     109744    206128    
166960    133296    100656    68016     35376     2736      232240    199600    
27312     127792    210864    49200     149680    250160    88496     188976    
145712    117168    88624     26288     259888    231344    202800    174256    
260016    102448    207024    49456     103856    208432    50864     155440    
108080    83632     59184     34736     10288     181424    156976    132528    
214192    60720     169392    15920     124592    233264    258992    105520    
54064     33712     13360     255152    234800    214448    194096    74416     

 
