 
1         2         3         4         5         6         7         8         9         
18        10        11        12        13        14        15        16        17        
26        27        19        20        21        22        23        24        25        
34        35        36        28        29        30        31        32        33        
42        43        44        45        37        38        39        40        41        
50        51        52        53        54        46        47        48        49        
58        59        60        61        62        63        55        56        57        
66        67        68        69        70        71        72        64        65        
74        75        76        77        78        79        80        81        73        

 

2205      2250      2295      2340      2385      2430      2475      2520      2565      
6210      5202      5328      5454      5580      5706      5832      5958      6084      
9648      9855      8199      8406      8613      8820      9027      9234      9441      
12924     13212     13500     11196     11484     11772     12060     12348     12636     
16038     16407     16776     17145     14193     14562     14931     15300     15669     
18990     19440     19890     20340     20790     17190     17640     18090     18540     
21780     22311     22842     23373     23904     24435     20187     20718     21249     
24408     25020     25632     26244     26856     27468     28080     23184     23796     
26874     27567     28260     28953     29646     30339     31032     31725     26181     

 

32073     53538     75003     96468     117933    139398    160863    182328    203793    
19674     133130    184484    235838    25048     76402     127756    179110    230464    
16456     97699     234187    53286     134529    215772    34871     116114    197357    
215604    64592     175724    73100     184232    33220     144352    255484    104472    
92830     233851    112728    253749    174157    53034     194055    72932     213953    
172422    81188     252098    160864    69630     13070     183980    92746     1512      
192236    130891    69546     8201      209000    147655    114127    52782     253581    
152272    120816    89360     57904     26448     257136    225680    215184    183728    
52530     50963     49396     47829     46262     44695     43128     41561     54097     

 
 
285       690       1095      1500      1905      2310      2715      3120      3525      
9762      690       1824      2958      4092      5226      6360      7494      8628      
14136     15999     1095      2958      4821      6684      8547      10410     12273     
17052     19644     22236     1500      4092      6684      9276      11868     14460     
18510     21831     25152     28473     1905      5226      8547      11868     15189     
18510     22560     26610     30660     34710     2310      6360      10410     14460     
17052     21831     26610     31389     36168     40947     2715      7494      12273     
14136     19644     25152     30660     36168     41676     47184     3120      8628      
9762      15999     22236     28473     34710     40947     47184     53421     3525      

 

110025    2186      156491    48652     202957    95118     249423    141584    33745     
19642     41066     202228    101246    264       161426    60444     221606    120624    
99664     5539      234251    140126    46001     214020    119895    25770     193789    
165972    78704     253580    165292    78024     252900    165632    78364     253240    
218566    138155    57744     239477    96333     15922     197655    117244    36833     
257446    183892    110338    36784     225374    27374     215964    142410    68856     
20468     215915    149218    82521     15824     211271    220559    153862    87165     
31920     234224    174384    114544    54704     257008    197168    151600    91760     
29658     238819    185836    132853    79870     26887     236048    183065    82641     

 
 
17181     17514     17847     18180     18513     18846     19179     19512     19845     
20250     17514     17856     18198     18540     18882     19224     19566     19908     
20304     20655     17847     18198     18549     18900     19251     19602     19953     
20340     20700     21060     18180     18540     18900     19260     19620     19980     
20358     20727     21096     21465     18513     18882     19251     19620     19989     
20358     20736     21114     21492     21870     18846     19224     19602     19980     
20340     20727     21114     21501     21888     22275     19179     19566     19953     
20304     20700     21096     21492     21888     22284     22680     19512     19908     
20250     20655     21060     21465     21870     22275     22680     23085     19845     

 

53193     219810    124283    28756     195373    99846     4319      170936    75409     
229714    180930    88724     258662    166456    74250     244188    151982    59776     
210760    121875    46523     219782    130897    42012     215271    126386    37501     
185164    99600     14036     174260    88696     3132      179712    94148     8584      
152926    70683     250584    168341    39853     219754    137511    55268     235169    
114046    35124     218346    139424    60502     167590    88668     9746      192968    
68524     255067    179466    103865    28264     214807    33183     219726    144125    
16360     206224    133944    61664     251528    179248    106968    160920    88640     
219698    150739    81780     12821     206006    137047    68088     261273    26513     

 
 
2205      5202      8199      11196     14193     17190     20187     23184     26181     
26874     2250      5328      8406      11484     14562     17640     20718     23796     
24408     27567     2295      5454      8613      11772     14931     18090     21249     
21780     25020     28260     2340      5580      8820      12060     15300     18540     
18990     22311     25632     28953     2385      5706      9027      12348     15669     
16038     19440     22842     26244     29646     2430      5832      9234      12636     
12924     16407     19890     23373     26856     30339     2475      5958      9441      
9648      13212     16776     20340     23904     27468     31032     2520      6084      
6210      9855      13500     17145     20790     24435     28080     31725     2565      

 

110025    41066     234251    165292    96333     27374     220559    151600    82641     
29658     2186      202228    140126    78024     15922     215964    153862    91760     
31920     238819    156491    101246    46001     252900    197655    142410    87165     
20468     234224    185836    48652     264       214020    165632    117244    68856     
257446    215915    174384    132853    202957    161426    119895    78364     36833     
218566    183892    149218    114544    79870     95118     60444     25770     253240    
165972    138155    110338    82521     54704     26887     249423    221606    193789    
99664     78704     57744     36784     15824     257008    236048    141584    120624    
19642     5539      253580    239477    225374    211271    197168    183065    33745     

 
