
1              2              3              4              5              6              7              8              9              10             11             12             13             14             15             16             17             18             19             20             21             
42             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             
62             63             43             44             45             46             47             48             49             50             51             52             53             54             55             56             57             58             59             60             61             
82             83             84             64             65             66             67             68             69             70             71             72             73             74             75             76             77             78             79             80             81             
102            103            104            105            85             86             87             88             89             90             91             92             93             94             95             96             97             98             99             100            101            
122            123            124            125            126            106            107            108            109            110            111            112            113            114            115            116            117            118            119            120            121            
142            143            144            145            146            147            127            128            129            130            131            132            133            134            135            136            137            138            139            140            141            
162            163            164            165            166            167            168            148            149            150            151            152            153            154            155            156            157            158            159            160            161            
182            183            184            185            186            187            188            189            169            170            171            172            173            174            175            176            177            178            179            180            181            
202            203            204            205            206            207            208            209            210            190            191            192            193            194            195            196            197            198            199            200            201            
222            223            224            225            226            227            228            229            230            231            211            212            213            214            215            216            217            218            219            220            221            
242            243            244            245            246            247            248            249            250            251            252            232            233            234            235            236            237            238            239            240            241            
262            263            264            265            266            267            268            269            270            271            272            273            253            254            255            256            257            258            259            260            261            
282            283            284            285            286            287            288            289            290            291            292            293            294            274            275            276            277            278            279            280            281            
302            303            304            305            306            307            308            309            310            311            312            313            314            315            295            296            297            298            299            300            301            
322            323            324            325            326            327            328            329            330            331            332            333            334            335            336            316            317            318            319            320            321            
342            343            344            345            346            347            348            349            350            351            352            353            354            355            356            357            337            338            339            340            341            
362            363            364            365            366            367            368            369            370            371            372            373            374            375            376            377            378            358            359            360            361            
382            383            384            385            386            387            388            389            390            391            392            393            394            395            396            397            398            399            379            380            381            
402            403            404            405            406            407            408            409            410            411            412            413            414            415            416            417            418            419            420            400            401            
422            423            424            425            426            427            428            429            430            431            432            433            434            435            436            437            438            439            440            441            421            
RESULT of Initial Data


64911          65142          65373          65604          65835          66066          66297          66528          66759          66990          67221          67452          67683          67914          68145          68376          68607          68838          69069          69300          69531          
171402         157962         158634         159306         159978         160650         161322         161994         162666         163338         164010         164682         165354         166026         166698         167370         168042         168714         169386         170058         170730         
272160         273273         251013         252126         253239         254352         255465         256578         257691         258804         259917         261030         262143         263256         264369         265482         266595         267708         268821         269934         271047         
372036         373590         375144         344064         345618         347172         348726         350280         351834         353388         354942         356496         358050         359604         361158         362712         364266         365820         367374         368928         370482         
471030         473025         475020         477015         437115         439110         441105         443100         445095         447090         449085         451080         453075         455070         457065         459060         461055         463050         465045         467040         469035         
569142         571578         574014         576450         578886         530166         532602         535038         537474         539910         542346         544782         547218         549654         552090         554526         556962         559398         561834         564270         566706         
