 
1         2         3         4         5         6         7         8         9         10        11        
22        12        13        14        15        16        17        18        19        20        21        
32        33        23        24        25        26        27        28        29        30        31        
42        43        44        34        35        36        37        38        39        40        41        
52        53        54        55        45        46        47        48        49        50        51        
62        63        64        65        66        56        57        58        59        60        61        
72        73        74        75        76        77        67        68        69        70        71        
82        83        84        85        86        87        88        78        79        80        81        
92        93        94        95        96        97        98        99        89        90        91        
102       103       104       105       106       107       108       109       110       100       101       
112       113       114       115       116       117       118       119       120       121       111       
INITIAL DATA
 

4906      4972      5038      5104      5170      5236      5302      5368      5434      5500      5566      
13552     11682     11869     12056     12243     12430     12617     12804     12991     13178     13365     
21230     21538     18458     18766     19074     19382     19690     19998     20306     20614     20922     
28666     29095     29524     25234     25663     26092     26521     26950     27379     27808     28237     
35860     36410     36960     37510     32010     32560     33110     33660     34210     34760     35310     
42812     43483     44154     44825     45496     38786     39457     40128     40799     41470     42141     
49522     50314     51106     51898     52690     53482     45562     46354     47146     47938     48730     
55990     56903     57816     58729     59642     60555     61468     52338     53251     54164     55077     
62216     63250     64284     65318     66352     67386     68420     69454     59114     60148     61182     
68200     69355     70510     71665     72820     73975     75130     76285     77440     65890     67045     
73942     75218     76494     77770     79046     80322     81598     82874     84150     85426     72666     
RESULT of P * G
 

159508    217104    12556     70152     127748    185344    242940    38392     95988     153584    211180    
211172    134022    10665     149452    26095     164882    41525     180312    56955     195742    72385     
253330    211164    108536    66370     24204     244182    202016    159850    117684    75518     33352     
133106    172131    211156    83050     122075    161100    200125    239150    16031     55056     94081     
112644    232860    90932     211148    57564     177780    35852     156068    14140     134356    254572    
191944    131207    70470     9733      211140    32078     233485    172748    112011    51274     252681    
108862    129316    149770    170224    190678    211132    6592      27046     47500     67954     88408     
125542    227187    66688     168333    7834      109479    211124    243250    82751     184396    23897     
241984    162676    83368     4060      186896    107588    28280     211116    217764    138456    59148     
196044    197927    199810    201693    203576    205459    207342    209225    211108    192278    194161    
249866    70796     153870    236944    57874     140948    224022    44952     128026    211100    166792    
RESULT of P G * G
 
 
506       1232      1958      2684      3410      4136      4862      5588      6314      7040      7766      
21802     1232      3289      5346      7403      9460      11517     13574     15631     17688     19745     
32450     35838     1958      5346      8734      12122     15510     18898     22286     25674     29062     
40436     45155     49874     2684      7403      12122     16841     21560     26279     30998     35717     
45760     51810     57860     63910     3410      9460      15510     21560     27610     33660     39710     
48422     55803     63184     70565     77946     4136      11517     18898     26279     33660     41041     
48422     57134     65846     74558     83270     91982     4862      13574     22286     30998     39710     
45760     55803     65846     75889     85932     95975     106018    5588      15631     25674     35717     
40436     51810     63184     74558     85932     97306     108680    120054    6314      17688     29062     
32450     45155     57860     70565     83270     95975     108680    121385    134090    7040      19745     
21802     35838     49874     63910     77946     91982     106018    120054    134090    148126    7766      
RESULT of P * Gt
 

90692     66860     43028     19196     257508    233676    209844    186012    162180    138348    114516    
241898    199960    20653     103490    186327    7020      89857     172694    255531    76224     159061    
179774    107136    47084     236590    163952    91314     18676     208182    135544    62906     252412    
166456    200487    234518    156352    190383    224414    258445    30332     64363     98394     132425    
201944    80500     221200    99756     3476      144176    22732     163432    41988     182688    61244     
24094     9319      256688    241913    227138    112744    97969     83194     68419     53644     38869     
157194    249088    78838     170732    482       92376     222012    51762     143656    235550    65300     
76956     13375     211938    148357    84776     21195     219758    69136     5555      204118    140537    
45524     88612     131700    174788    217876    260964    41908     84996     178404    221492    2436      
62898     212655    100268    250025    137638    25251     175008    62621     212378    25528     175285    
129078    123360    117642    111924    106206    100488    94770     89052     83334     77616     134796    
RESULT of PG * Gt
 
 
47806     48422     49038     49654     50270     50886     51502     52118     52734     53350     53966     
54692     48422     49049     49676     50303     50930     51557     52184     52811     53438     54065     
54780     55418     49038     49676     50314     50952     51590     52228     52866     53504     54142     
54846     55495     56144     49654     50303     50952     51601     52250     52899     53548     54197     
54890     55550     56210     56870     50270     50930     51590     52250     52910     53570     54230     
