 
1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        
34        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        
50        51        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        
66        67        68        52        53        54        55        56        57        58        59        60        61        62        63        64        65        
82        83        84        85        69        70        71        72        73        74        75        76        77        78        79        80        81        
98        99        100       101       102       86        87        88        89        90        91        92        93        94        95        96        97        
114       115       116       117       118       119       103       104       105       106       107       108       109       110       111       112       113       
130       131       132       133       134       135       136       120       121       122       123       124       125       126       127       128       129       
146       147       148       149       150       151       152       153       137       138       139       140       141       142       143       144       145       
162       163       164       165       166       167       168       169       170       154       155       156       157       158       159       160       161       
178       179       180       181       182       183       184       185       186       187       171       172       173       174       175       176       177       
194       195       196       197       198       199       200       201       202       203       204       188       189       190       191       192       193       
210       211       212       213       214       215       216       217       218       219       220       221       205       206       207       208       209       
226       227       228       229       230       231       232       233       234       235       236       237       238       222       223       224       225       
242       243       244       245       246       247       248       249       250       251       252       253       254       255       239       240       241       
258       259       260       261       262       263       264       265       266       267       268       269       270       271       272       256       257       
274       275       276       277       278       279       280       281       282       283       284       285       286       287       288       289       273       
INITIAL DATA
 

27897     28050     28203     28356     28509     28662     28815     28968     29121     29274     29427     29580     29733     29886     30039     30192     30345     
74562     67490     67932     68374     68816     69258     69700     70142     70584     71026     71468     71910     72352     72794     73236     73678     74120     
118048    118779    107083    107814    108545    109276    110007    110738    111469    112200    112931    113662    114393    115124    115855    116586    117317    
160956    161976    162996    146676    147696    148716    149736    150756    151776    152796    153816    154836    155856    156876    157896    158916    159936    
203286    204595    205904    207213    186269    187578    188887    190196    191505    192814    194123    195432    196741    198050    199359    200668    201977    
245038    246636    248234    249832    251430    225862    227460    229058    230656    232254    233852    235450    237048    238646    240244    241842    243440    
24068     25955     27842     29729     31616     33503     3311      5198      7085      8972      10859     12746     14633     16520     18407     20294     22181     
64664     66840     69016     71192     73368     75544     77720     42904     45080     47256     49432     51608     53784     55960     58136     60312     62488     
104682    107147    109612    112077    114542    117007    119472    121937    82497     84962     87427     89892     92357     94822     97287     99752     102217    
144122    146876    149630    152384    155138    157892    160646    163400    166154    122090    124844    127598    130352    133106    135860    138614    141368    
182984    186027    189070    192113    195156    198199    201242    204285    207328    210371    161683    164726    167769    170812    173855    176898    179941    
221268    224600    227932    231264    234596    237928    241260    244592    247924    251256    254588    201276    204608    207940    211272    214604    217936    
258974    451       4072      7693      11314     14935     18556     22177     25798     29419     33040     36661     240869    244490    248111    251732    255353    
33958     37868     41778     45688     49598     53508     57418     61328     65238     69148     73058     76968     80878     18318     22228     26138     30048     
70508     74707     78906     83105     87304     91503     95702     99901     104100    108299    112498    116697    120896    125095    57911     62110     66309     
106480    110968    115456    119944    124432    128920    133408    137896    142384    146872    151360    155848    160336    164824    169312    97504     101992    
141874    146651    151428    156205    160982    165759    170536    175313    180090    184867    189644    194421    199198    203975    208752    213529    137097    
RESULT of P * G
 

202289    173058    143827    114596    85365     56134     26903     259816    230585    201354    172123    142892    113661    84430     55199     25968     258881    
109234    188818    85540     244406    141128    37850     196716    93438     252304    149026    45748     204614    101336    260202    156924    53646     212512    
136912    221731    175347    260166    82841     167660    252479    75154     159973    244792    67467     152286    237105    59780     144599    229418    52093     
50540     61312     72084     161876    172648    183420    194192    204964    215736    226508    237280    248052    258824    7452      18224     28996     39768     
112262    48987     247856    184581    148405    85130     21855     220724    157449    94174     30899     229768    166493    103218    39943     238812    175537    
59934     184756    47434     172256    34934     134934    259756    122434    247256    109934    234756    97434     222256    84934     209756    72434     197256    
155700    206475    257250    45881     96656     147431    121463    172238    223013    11644     62419     113194    163969    214744    3375      54150     104925    
137416    114144    90872     67600     44328     21056     259928    107992    84720     61448     38176     14904     253776    230504    207232    183960    160688    
5082      169907    72588     237413    140094    42775     207600    110281    94521     259346    162027    64708     229533    132214    34895     199720    102401    
20842     111620    202398    31032     121810    212588    41222     132000    222778    81050     171828    462       91240     182018    10652     101430    192208    
184696    201427    218158    234889    251620    6207      22938     39669     56400     73131     67579     84310     101041    117772    134503    151234    167965    
234500    177184    119868    62552     5236      210064    152748    95432     38116     242944    185628    54108     258936    201620    144304    86988     29672     
170254    38891     169672    38309     169090    37727     168508    37145     167926    36563     167344    35981     40637     171418    40055     170836    39473     
254102    48692     105426    162160    218894    13484     70218     126952    183686    240420    35010     91744     148478    27166     83900     140634    197368    
223900    206587    189274    171961    154648    137335    120022    102709    85396     68083     50770     33457     16144     260975    13695     258526    241213    
79648     250432    159072    67712     238496    147136    55776     226560    135200    43840     214624    123264    31904     202688    111328    224       171008    
83490     180227    14820     111557    208294    42887     139624    236361    70954     167691    2284      99021     195758    30351     127088    223825    248897    
RESULT of P G * G
 
 
1785      4386      6987      9588      12189     14790     17391     19992     22593     25194     27795     30396     32997     35598     38199     40800     43401     
124610    4386      11900     19414     26928     34442     41956     49470     56984     64498     72012     79526     87040     94554     102068    109582    117096    
193392    205819    6987      19414     31841     44268     56695     69122     81549     93976     106403    118830    131257    143684    156111    168538    180965    
252348    7544      24884     9588      26928     44268     61608     78948     96288     113628    130968    148308    165648    182988    200328    217668    235008    
39334     61587     83840     106093    12189     34442     56695     78948     101201    123454    145707    167960    190213    212466    234719    256972    17081     
78638     105804    132970    160136    187302    14790     41956     69122     96288     123454    150620    177786    204952    232118    259284    24306     51472     
108116    140195    172274    204353    236432    6367      17391     49470     81549     113628    145707    177786    209865    241944    11879     43958     76037     
127768    164760    201752    238744    13592     50584     87576     19992     56984     93976     130968    167960    204952    241944    16792     53784     90776     
137594    179499    221404    1165      43070     84975     126880    168785    22593     64498     106403    148308    190213    232118    11879     53784     95689     
137594    184412    231230    15904     62722     109540    156358    203176    249994    25194     72012     118830    165648    212466    259284    43958     90776     
127768    179499    231230    20817     72548     124279    176010    227741    17328     69059     27795     79526     131257    182988    234719    24306     76037     
108116    164760    221404    15904     72548     129192    185836    242480    36980     93624     150268    30396     87040     143684    200328    256972    51472     
78638     140195    201752    1165      62722     124279    185836    247393    46806     108363    169920    231477    32997     94554     156111    217668    17081     
39334     105804    172274    238744    43070     109540    176010    242480    46806     113276    179746    246216    50542     35598     102068    168538    235008    
252348    61587     132970    204353    13592     84975     156358    227741    36980     108363    179746    251129    60368     131751    38199     109582    180965    
193392    7544      83840     160136    236432    50584     126880    203176    17328     93624     169920    246216    60368     136664    212960    40800     117096    
124610    205819    24884     106093    187302    6367      87576     168785    249994    69059     150268    231477    50542     131751    212960    32025     43401     
RESULT of P * Gt
 

61489     37266     13043     250964    226741    202518    178295    154072    129849    105626    81403     57180     32957     8734      246655    222432    198209    
7730      88850     116548    144246    171944    199642    227340    255038    20592     48290     75988     103686    131384    159082    186780    214478    242176    
