 
1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        
30        16        17        18        19        20        21        22        23        24        25        26        27        28        29        
44        45        31        32        33        34        35        36        37        38        39        40        41        42        43        
58        59        60        46        47        48        49        50        51        52        53        54        55        56        57        
72        73        74        75        61        62        63        64        65        66        67        68        69        70        71        
86        87        88        89        90        76        77        78        79        80        81        82        83        84        85        
100       101       102       103       104       105       91        92        93        94        95        96        97        98        99        
114       115       116       117       118       119       120       106       107       108       109       110       111       112       113       
128       129       130       131       132       133       134       135       121       122       123       124       125       126       127       
142       143       144       145       146       147       148       149       150       136       137       138       139       140       141       
156       157       158       159       160       161       162       163       164       165       151       152       153       154       155       
170       171       172       173       174       175       176       177       178       179       180       166       167       168       169       
184       185       186       187       188       189       190       191       192       193       194       195       181       182       183       
198       199       200       201       202       203       204       205       206       207       208       209       210       196       197       
212       213       214       215       216       217       218       219       220       221       222       223       224       225       211       
INITIAL DATA
 

16920     17040     17160     17280     17400     17520     17640     17760     17880     18000     18120     18240     18360     18480     18600     
45600     40770     41115     41460     41805     42150     42495     42840     43185     43530     43875     44220     44565     44910     45255     
72030     72600     64620     65190     65760     66330     66900     67470     68040     68610     69180     69750     70320     70890     71460     
98010     98805     99600     88470     89265     90060     90855     91650     92445     93240     94035     94830     95625     96420     97215     
123540    124560    125580    126600    112320    113340    114360    115380    116400    117420    118440    119460    120480    121500    122520    
148620    149865    151110    152355    153600    136170    137415    138660    139905    141150    142395    143640    144885    146130    147375    
173250    174720    176190    177660    179130    180600    160020    161490    162960    164430    165900    167370    168840    170310    171780    
197430    199125    200820    202515    204210    205905    207600    183870    185565    187260    188955    190650    192345    194040    195735    
221160    223080    225000    226920    228840    230760    232680    234600    207720    209640    211560    213480    215400    217320    219240    
244440    246585    248730    250875    253020    255165    257310    259455    261600    231570    233715    235860    238005    240150    242295    
5126      7496      9866      12236     14606     16976     19346     21716     24086     26456     255420    257790    260160    386       2756      
27506     30101     32696     35291     37886     40481     43076     45671     48266     50861     53456     17126     19721     22316     24911     
49436     52256     55076     57896     60716     63536     66356     69176     71996     74816     77636     80456     40976     43796     46616     
70916     73961     77006     80051     83096     86141     89186     92231     95276     98321     101366    104411    107456    64826     67871     
91946     95216     98486     101756    105026    108296    111566    114836    118106    121376    124646    127916    131186    134456    88676     
RESULT of P * G
 

168704    172960    177216    181472    185728    189984    194240    198496    202752    207008    211264    215520    219776    224032    228288    
